skill,freq,Model,MAE
Information Technology,D,Naive,2115.095238095238
Information Technology,D,MA(7),2006.401360544218
Information Technology,D,SES,1976.7202564582828
Information Technology,D,ARIMA,2087.161046621616
Sales,D,Naive,1682.7619047619046
Sales,D,MA(7),1620.6666666666667
Sales,D,SES,1550.6707007219263
Sales,D,ARIMA,1646.8071517765388
Management,D,Naive,1146.7719298245613
Management,D,MA(7),1063.2581453634086
Management,D,SES,1101.4914985151481
Management,D,ARIMA,1168.0100989727537
Manufacturing,D,Naive,827.3333333333334
Manufacturing,D,MA(7),759.5714285714287
Manufacturing,D,SES,784.8352248391755
Manufacturing,D,ARIMA,822.8293850537681
Health Care Provider,D,Naive,1324.7619047619048
Health Care Provider,D,MA(7),1230.4081632653063
Health Care Provider,D,SES,1194.3131685804158
Health Care Provider,D,ARIMA,1213.3674979791851
